Database,Units,Series_Code,Country,Descriptor,1970A1,1971A1,1972A1,1973A1,1974A1,1975A1,1976A1,1977A1,1978A1,1979A1,1980A1,1981A1,1982A1,1983A1,1984A1,1985A1,1986A1,1987A1,1988A1,1989A1,1990A1,1991A1,1992A1,1993A1,1994A1,1995A1,1996A1,1997A1,1998A1,1999A1,2000A1
World Economic Outlook,Annual percent change,W867PCPI%,MARSHALL ISLANDS,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4.20,-0.60,2.60,2.20,0.70,4.00,10.30,5.00,5.63,8.26,9.60,4.83,4.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W682PCPI%,MAURITANIA,Inflation,10.31,7.19,4.97,18.55,14.62,16.58,6.58,5.78,2.42,12.43,5.91,6.90,9.76,6.08,13.51,10.32,7.80,8.20,6.30,9.00,6.40,4.06,10.15,9.35,4.10,5.99,5.22,4.55,8.02,n.a.,n.a.
World Economic Outlook,Annual percent change,W684PCPI%,MAURITIUS,Inflation,1.63,0.25,5.38,13.49,29.11,14.76,12.95,9.63,10.03,7.95,33.04,26.45,13.38,7.45,5.53,8.32,4.34,0.72,1.50,15.95,10.71,12.81,2.88,8.92,9.36,6.05,5.79,7.89,5.30,n.a.,n.a.
World Economic Outlook,Annual percent change,W273PCPI%,MEXICO,Inflation,5.21,5.26,5.00,12.04,23.74,15.15,15.79,29.00,17.54,18.13,26.47,28.00,58.87,101.88,65.54,57.75,86.23,131.82,114.16,20.01,26.65,22.70,15.50,9.76,6.97,35.00,34.38,20.62,16.67,16.74,11.17
World Economic Outlook,Annual percent change,W868PCPI%,MICRONESIA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,8.50,-3.10,3.70,4.50,3.50,4.00,5.00,6.00,4.00,4.00,4.00,3.00,3.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W921PCPI%,MOLDOVA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,5.60,162.00,1276.00,788.50,329.60,30.20,23.50,11.80,6.90,15.00,2.80
World Economic Outlook,Annual percent change,W948PCPI%,MONGOLIA,Inflation,n.a.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,2.50,0.00,0.59,-0.97,0.00,0.00,0.00,0.00,0.00,20.20,202.58,268.38,87.57,56.80,46.70,36.80,9.40,8.60,5.50
World Economic Outlook,Annual percent change,W686PCPI%,MOROCCO,Inflation,1.30,4.09,3.78,4.14,17.53,7.87,8.51,12.60,9.70,8.34,9.46,12.50,10.49,6.28,12.41,7.74,8.69,2.70,2.41,3.14,6.71,8.99,5.74,5.18,5.14,6.12,2.99,1.04,2.70,2.50,2.50
World Economic Outlook,Annual percent change,W688PCPI%,MOZAMBIQUE,Inflation,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,4.20,17.69,28.20,30.04,30.78,40.49,164.11,58.51,42.08,43.72,33.26,45.08,42.25,63.12,54.43,44.61,6.38,0.56,n.a.,n.a.
World Economic Outlook,Annual percent change,W518PCPI%,MYANMAR,Inflation,-4.01,2.09,7.64,25.30,25.18,31.58,22.39,-1.15,-3.96,5.71,-0.10,1.40,5.23,5.91,5.24,6.26,14.74,17.63,23.98,23.82,21.91,29.13,22.29,33.57,22.44,28.92,20.00,10.00,10.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W728PCPI%,NAMIBIA,Inflation,5.59,6.53,9.50,11.60,13.52,11.24,11.13,10.19,13.08,13.78,13.84,14.76,15.54,12.00,9.10,11.94,13.38,12.62,12.53,15.46,12.02,11.90,17.73,8.53,10.76,10.01,8.01,8.78,7.38,n.a.,n.a.
World Economic Outlook,Annual percent change,W558PCPI%,NEPAL,Inflation,15.23,-2.02,8.38,11.43,19.82,7.59,-3.11,9.90,12.71,3.58,10.88,15.47,10.40,-10.90,4.10,15.85,13.27,11.05,6.33,11.53,9.84,21.00,8.91,8.95,7.65,8.09,9.03,7.50,7.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W138PCPI%,NETHERLANDS,Inflation,3.73,7.48,7.79,8.01,9.61,10.21,9.06,6.47,4.08,4.21,6.55,6.80,5.90,2.90,3.40,2.30,0.00,-1.00,0.50,1.10,2.50,3.10,3.20,2.60,2.70,2.00,2.10,2.20,2.00,1.60,2.20
World Economic Outlook,Annual percent change,W353PCPI%,NETHERLANDS ANTILLES,Inflation,3.56,2.10,4.11,8.09,19.41,15.60,5.25,5.45,8.07,11.43,14.60,12.20,6.09,2.84,2.09,0.50,1.25,3.30,2.10,3.80,3.70,3.80,1.50,1.90,1.90,2.70,3.50,3.50,3.50,n.a.,n.a.
World Economic Outlook,Annual percent change,W196PCPI%,NEW ZEALAND,Inflation,6.55,10.45,6.92,8.12,11.25,14.53,16.79,14.59,11.90,13.70,17.09,15.35,15.63,6.89,6.10,15.15,12.97,15.47,6.26,6.12,6.24,3.10,2.09,1.74,1.81,2.37,2.29,1.72,1.53,1.05,1.43
World Economic Outlook,Annual percent change,W278PCPI%,NICARAGUA,Inflation,26.67,27.37,26.86,27.04,13.33,7.69,2.73,11.45,4.59,75.69,35.14,23.80,24.86,31.07,35.45,219.46,681.63,911.92,14315.80,4709.30,3127.50,7755.30,40.50,20.40,7.70,11.20,6.80,5.70,5.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W692PCPI%,NIGER,Inflation,0.80,4.18,9.77,11.73,3.34,9.15,23.55,23.32,10.11,9.90,7.32,24.30,10.40,1.62,8.41,-1.07,-3.25,-6.64,0.60,-0.82,-2.03,-1.91,-1.72,-0.40,35.60,10.90,5.34,2.93,4.50,n.a.,n.a.
World Economic Outlook,Annual percent change,W694PCPI%,NIGERIA,Inflation,13.76,16.00,3.46,5.40,12.67,33.87,24.30,13.84,21.71,11.71,9.97,20.81,7.70,23.21,39.58,5.52,5.36,10.20,34.50,50.47,7.36,13.01,44.59,57.16,57.00,72.80,29.30,8.50,10.20,13.40,8.00
World Economic Outlook,Annual percent change,W142PCPI%,NORWAY,Inflation,10.57,6.26,7.22,7.44,9.41,11.71,9.18,9.04,8.15,4.76,10.90,13.64,11.37,8.41,6.28,5.67,7.19,8.73,6.70,4.56,4.11,3.42,2.34,2.27,1.40,2.46,1.26,2.58,2.23,2.30,2.50
World Economic Outlook,Annual percent change,W449PCPI%,OMAN,Inflation,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.40,9.28,10.01,6.40,2.54,-2.07,-7.36,-3.97,7.64,2.56,1.59,1.56,10.01,4.60,0.96,1.14,-0.66,-1.13,0.29,-0.17,1.50,n.a.,n.a.
World Economic Outlook,Annual percent change,W564PCPI%,PAKISTAN,Inflation,4.49,7.72,5.18,23.06,26.66,20.90,7.16,10.13,6.18,8.24,11.98,11.90,5.90,6.16,6.08,5.61,3.51,4.68,8.82,7.87,9.05,11.55,3.63,9.80,11.30,12.41,10.26,12.45,7.80,7.00,8.00
World Economic Outlook,Annual percent change,W283PCPI%,PANAMA,Inflation,3.13,1.92,5.41,6.86,16.27,5.88,3.95,4.59,4.20,7.99,13.81,7.30,4.25,2.10,1.58,1.03,-0.07,1.00,0.36,0.12,0.78,1.38,1.75,0.48,1.33,0.94,1.26,1.26,0.64,n.a.,n.a.
World Economic Outlook,Annual percent change,W853PCPI%,PAPUA NEW GUINEA,Inflation,0.65,3.58,6.44,8.41,23.13,10.50,7.80,4.36,5.78,5.80,12.07,8.00,5.56,7.89,7.48,3.71,5.47,3.29,5.40,4.50,7.00,7.00,4.30,5.00,2.92,17.28,11.63,3.94,13.53,n.a.,n.a.
World Economic Outlook,Annual percent change,W288PCPI%,PARAGUAY,Inflation,-0.68,4.79,9.48,12.54,25.20,6.85,4.61,9.20,10.88,28.32,22.44,14.00,6.89,13.22,20.44,25.22,31.62,21.93,22.48,26.57,38.12,24.20,15.22,18.24,20.51,13.44,9.81,8.30,7.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W293PCPI%,PERU,Inflation,5.03,6.79,7.22,9.49,16.89,23.62,33.48,38.05,57.85,66.69,59.15,75.43,64.45,111.13,110.18,163.42,77.90,85.80,667.00,3398.68,7481.60,409.50,73.50,48.59,23.70,11.13,11.54,8.50,7.30,4.70,4.50
World Economic Outlook,Annual percent change,W566PCPI%,PHILIPPINES,Inflation,15.28,21.39,8.20,16.58,34.15,6.76,6.20,7.91,7.59,18.82,18.02,12.38,10.19,-88.58,50.34,23.10,0.75,3.74,8.82,12.69,14.14,18.68,8.97,7.56,9.07,8.10,8.40,6.02,9.72,8.50,6.00
World Economic Outlook,Annual percent change,W964PCPI%,POLAND,Inflation,5.66,5.18,4.61,7.66,13.04,10.97,8.20,8.35,7.15,8.96,9.40,21.21,100.83,22.12,15.01,15.11,17.79,25.23,60.20,251.10,585.80,70.30,43.00,35.30,32.20,27.88,19.90,15.08,11.73,7.36,7.00
World Economic Outlook,Annual percent change,W182PCPI%,PORTUGAL,Inflation,3.91,4.34,5.45,6.95,12.68,12.77,9.20,7.07,4.47,4.47,7.81,19.90,22.67,25.08,29.29,19.39,11.62,9.49,9.51,11.60,13.40,11.40,8.90,6.50,5.20,4.10,3.10,2.20,2.80,2.30,2.00
World Economic Outlook,Annual percent change,W453PCPI%,QATAR,Inflation,20.03,20.03,20.03,20.03,20.03,20.03,20.03,20.03,10.03,6.01,6.84,8.46,5.70,2.70,1.14,1.13,1.90,4.49,4.82,3.30,3.00,4.42,3.06,-0.87,1.32,3.00,2.50,2.60,2.60,n.a.,n.a.
World Economic Outlook,Annual percent change,W968PCPI%,ROMANIA,Inflation,0.60,0.60,0.00,0.70,1.09,0.20,0.50,0.60,2.00,1.86,1.52,2.20,16.93,4.69,-0.32,-0.20,0.70,1.10,2.60,0.90,127.90,161.12,210.39,256.11,136.74,32.27,38.81,154.80,59.20,45.90,17.70
World Economic Outlook,Annual percent change,W922PCPI%,RUSSIA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,5.60,92.70,1353.00,895.90,302.03,190.09,47.80,14.74,27.65,100.48,20.17
World Economic Outlook,Annual percent change,W714PCPI%,RWANDA,Inflation,0.51,0.49,3.11,9.36,31.09,30.22,7.16,13.65,13.27,15.62,7.20,6.44,12.61,6.63,5.36,1.73,-1.10,4.15,2.91,1.04,4.20,19.60,9.50,12.50,64.00,22.00,8.90,11.69,6.84,n.a.,n.a.
World Economic Outlook,Annual percent change,W862PCPI%,SAMOA,Inflation,3.00,4.63,7.70,12.00,24.92,8.79,4.90,14.61,2.06,11.12,33.05,20.51,18.30,16.46,11.86,-32.03,5.74,4.57,8.51,6.47,15.23,-1.82,9.03,1.71,12.09,-2.91,5.38,6.86,2.23,n.a.,n.a.
World Economic Outlook,Annual percent change,W716PCPI%,SAO TOME & PRINCIPE,Inflation,4.32,5.65,5.53,9.97,18.43,29.70,10.90,7.39,10.33,5.48,0.22,11.48,0.40,7.00,3.20,0.10,13.90,25.00,44.28,42.89,42.25,46.48,33.70,25.50,51.16,36.80,35.50,71.30,42.25,n.a.,n.a.
World Economic Outlook,Annual percent change,W456PCPI%,SAUDI ARABIA,Inflation,0.18,4.50,4.30,16.51,21.41,34.62,31.55,11.39,11.21,1.17,4.38,2.77,1.02,0.18,-1.56,-3.08,-3.17,-1.59,0.91,1.00,2.08,4.56,-0.37,0.84,0.65,5.05,0.87,-0.43,-0.17,2.00,1.02
World Economic Outlook,Annual percent change,W722PCPI%,SENEGAL,Inflation,2.79,3.92,6.11,11.27,16.60,31.67,1.09,11.33,3.47,9.62,8.70,5.78,17.38,11.71,11.74,13.04,6.12,-4.13,-1.82,0.45,0.32,-1.75,-0.11,-0.59,32.10,8.54,2.80,1.80,1.50,n.a.,n.a.
World Economic Outlook,Annual percent change,W718PCPI%,SEYCHELLES,Inflation,14.89,14.89,20.99,18.24,24.49,18.54,14.91,14.95,11.72,12.58,13.52,10.51,-0.85,6.03,4.06,0.80,0.30,2.58,1.84,1.52,3.93,2.03,3.25,1.28,1.85,-0.29,-1.08,0.61,1.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W724PCPI%,SIERRA LEONE,Inflation,6.40,-1.27,5.50,5.66,14.42,19.91,17.18,8.34,10.90,21.37,12.87,23.37,26.89,68.53,66.57,76.58,80.87,178.70,34.29,60.80,110.95,102.69,65.50,17.59,18.35,29.75,23.14,14.90,37.40,n.a.,n.a.
World Economic Outlook,Annual percent change,W576PCPI%,SINGAPORE,Inflation,0.36,1.69,2.29,19.51,22.45,2.64,-1.89,3.17,4.84,4.10,8.55,8.25,3.81,1.22,2.64,0.43,-1.39,0.52,1.52,2.35,3.46,3.43,2.28,2.24,3.08,1.77,1.38,2.00,-0.27,-0.12,1.12
World Economic Outlook,Annual percent change,W936PCPI%,SLOVAK REPUBLIC,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,10.00,23.00,13.41,9.89,5.80,6.10,6.70,n.a.,n.a.
World Economic Outlook,Annual percent change,W961PCPI%,SLOVENIA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,202.60,32.30,19.80,12.60,9.68,9.10,7.90,n.a.,n.a.
World Economic Outlook,Annual percent change,W813PCPI%,SOLOMON ISLANDS,Inflation,4.32,5.65,6.90,3.23,18.85,10.09,4.26,8.62,12.15,7.75,8.25,13.14,13.00,6.95,10.92,9.41,13.10,11.49,16.81,14.94,8.56,10.77,9.18,9.20,13.30,9.60,12.10,8.10,8.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W726PCPI%,SOMALIA,Inflation,0.89,-0.58,-2.98,6.51,18.25,19.36,14.11,10.56,10.22,23.65,58.99,44.60,22.61,36.38,92.25,37.77,35.74,28.11,81.70,110.40,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
World Economic Outlook,Annual percent change,W199PCPI%,SOUTH AFRICA,Inflation,5.59,6.53,9.50,11.60,13.52,11.24,11.13,10.19,13.08,13.78,13.84,15.44,15.12,12.12,11.26,16.60,18.40,16.13,12.88,14.77,14.42,15.16,13.91,9.74,8.99,8.58,7.40,8.57,7.00,6.83,6.00
World Economic Outlook,Annual percent change,W184PCPI%,SPAIN,Inflation,5.71,8.11,8.26,11.44,16.33,16.97,14.88,24.53,19.72,15.50,15.61,14.62,14.39,12.17,11.28,8.81,8.79,5.25,4.84,6.79,6.72,5.93,5.92,4.57,4.72,4.67,3.56,1.96,1.84,1.83,2.05
World Economic Outlook,Annual percent change,W524PCPI%,SRI LANKA,Inflation,5.90,2.68,6.27,9.68,12.33,6.73,1.21,1.25,8.85,10.80,26.10,18.00,10.80,14.00,16.60,1.50,8.00,7.70,13.98,11.57,21.50,12.20,11.39,11.74,8.44,7.68,15.94,9.57,5.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W361PCPI%,ST. KITTS AND NEVIS,Inflation,17.74,17.74,17.74,17.74,17.74,17.74,17.74,17.74,33.42,4.36,19.33,8.56,5.98,2.23,2.73,2.67,-0.03,0.94,0.23,5.13,4.19,4.18,2.86,1.79,1.43,3.00,2.05,8.92,3.61,n.a.,n.a.
World Economic Outlook,Annual percent change,W362PCPI%,ST. LUCIA,Inflation,13.40,8.35,7.92,13.45,34.20,17.75,9.66,8.87,10.88,9.36,19.44,15.00,4.60,1.50,1.20,1.60,0.00,7.00,0.80,4.40,3.80,6.20,5.65,0.75,2.61,5.86,3.26,3.00,2.68,n.a.,n.a.
World Economic Outlook,Annual percent change,W364PCPI%,ST. VINCENT & GRENS.,Inflation,6.80,6.80,6.80,6.80,6.80,6.80,11.29,10.19,8.46,15.60,17.33,20.18,7.32,5.42,2.74,2.02,1.19,2.89,0.30,2.64,7.25,5.92,3.81,4.25,0.44,2.35,4.41,0.49,1.73,n.a.,n.a.
World Economic Outlook,Annual percent change,W732PCPI%,SUDAN,Inflation,4.01,1.40,13.39,15.31,26.13,23.96,1.67,17.09,20.02,33.58,26.53,24.00,26.61,30.57,33.66,45.62,60.00,-87.35,62.86,65.34,65.18,123.58,117.62,101.31,115.48,68.38,132.82,46.65,17.00,16.92,9.00
World Economic Outlook,Annual percent change,W366PCPI%,SURINAME,Inflation,2.55,0.19,3.25,12.96,16.89,8.42,10.09,9.69,8.84,14.59,14.15,8.68,7.12,4.37,3.69,10.85,18.66,53.42,7.34,0.76,21.77,25.96,43.68,143.41,368.48,235.50,-0.80,7.20,20.80,n.a.,n.a.
World Economic Outlook,Annual percent change,W734PCPI%,SWAZILAND,Inflation,1.87,2.30,2.34,13.43,19.04,13.26,4.70,20.82,8.90,14.60,18.20,13.70,7.50,13.56,14.98,20.00,13.16,13.31,14.03,6.35,13.57,11.03,8.15,11.25,13.87,12.26,6.40,7.21,8.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W144PCPI%,SWEDEN,Inflation,7.02,7.40,6.01,6.72,9.91,9.78,10.28,11.49,9.92,7.21,13.70,12.11,8.58,8.91,8.02,7.37,4.23,4.22,5.80,6.44,10.47,9.34,2.28,4.65,2.20,2.53,0.47,0.52,-0.14,0.20,1.00
World Economic Outlook,Annual percent change,W146PCPI%,SWITZERLAND,Inflation,3.62,6.57,6.66,8.76,9.77,6.70,1.72,1.30,-27.05,3.65,4.02,6.49,5.66,3.02,2.88,3.47,0.77,1.41,1.89,3.09,5.40,5.92,3.98,3.31,0.90,1.79,0.78,0.48,0.00,0.75,1.00
World Economic Outlook,Annual percent change,W463PCPI%,SYRIAN ARAB REPUBLIC,Inflation,4.24,4.88,0.78,20.00,15.38,11.46,11.43,11.79,5.10,4.36,19.33,18.40,14.27,5.99,9.45,16.82,36.19,71.43,30.00,15.38,11.11,9.00,11.01,13.22,15.33,7.72,8.87,1.89,1.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W528PCPI%,TAIWAN PROV.OF CHINA,Inflation,3.57,2.82,2.99,8.18,47.48,5.23,2.50,7.04,5.77,9.76,19.01,16.33,2.96,1.37,-0.03,-0.16,0.70,0.52,1.29,4.40,4.13,3.62,4.47,2.94,4.09,3.68,3.07,0.90,1.66,0.80,1.30
World Economic Outlook,Annual percent change,W923PCPI%,TAJIKISTAN,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,5.60,111.60,1156.66,2194.92,350.40,610.00,418.00,88.00,43.20,12.50,7.00
World Economic Outlook,Annual percent change,W738PCPI%,TANZANIA,Inflation,3.52,4.70,7.64,10.47,19.20,26.48,6.87,11.62,11.48,13.76,30.20,30.30,25.70,28.90,27.10,36.10,33.30,32.40,30.00,31.20,30.40,28.04,21.93,23.62,37.15,26.47,21.05,16.13,12.57,7.79,5.12
World Economic Outlook,Annual percent change,W578PCPI%,THAILAND,Inflation,-0.09,0.44,4.91,15.46,24.33,5.30,4.15,7.58,7.85,9.93,19.71,12.70,4.53,4.67,0.65,2.42,1.85,2.48,3.86,5.50,6.00,5.70,4.07,3.36,5.10,5.77,5.85,5.61,8.10,2.50,4.00
World Economic Outlook,Annual percent change,W742PCPI%,TOGO,Inflation,4.48,6.49,7.72,3.61,12.83,18.01,11.64,22.46,1.42,7.51,12.32,19.72,11.13,9.36,-3.53,-1.81,4.12,0.05,-0.15,-1.18,1.13,0.24,1.62,-0.09,35.26,13.89,4.60,7.07,0.98,n.a.,n.a.
World Economic Outlook,Annual percent change,W866PCPI%,TONGA,Inflation,0.00,0.00,0.00,0.00,0.00,0.00,11.66,17.48,9.58,5.45,-7.35,14.90,10.88,9.73,7.91,5.20,29.87,7.70,10.33,3.97,5.63,13.48,8.68,3.06,2.37,0.34,2.84,1.80,2.93,n.a.,n.a.
World Economic Outlook,Annual percent change,W369PCPI%,TRINIDAD AND TOBAGO,Inflation,2.52,3.50,9.29,14.83,21.99,16.99,10.57,11.11,10.58,14.43,17.48,14.49,11.41,16.84,13.28,7.66,7.69,13.42,12.06,4.63,11.03,3.85,6.47,13.10,3.70,5.30,3.30,3.70,4.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W744PCPI%,TUNISIA,Inflation,1.11,6.00,1.89,4.72,4.07,9.52,5.35,6.74,5.24,7.83,10.01,8.90,13.67,8.97,8.60,7.55,6.16,8.22,7.16,7.72,6.50,8.20,5.82,4.02,4.62,6.26,3.78,3.70,3.60,3.60,3.50
World Economic Outlook,Annual percent change,W186PCPI%,TURKEY,Inflation,6.92,15.72,11.65,15.42,15.80,19.18,17.35,23.02,53.20,61.80,110.17,36.58,30.84,31.40,48.38,44.96,34.62,38.84,73.68,63.28,60.30,65.98,70.07,66.10,106.25,93.68,82.29,85.73,84.64,67.48,73.60
World Economic Outlook,Annual percent change,W925PCPI%,TURKMENISTAN,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4.20,102.50,492.90,3102.40,1748.30,1005.30,992.40,83.70,16.80,28.10,19.80
World Economic Outlook,Annual percent change,W746PCPI%,UGANDA,Inflation,74.93,74.93,74.93,74.93,74.93,74.93,74.93,74.93,49.45,94.95,99.20,100.00,100.00,150.00,16.71,100.00,143.80,215.40,166.70,130.80,45.40,20.82,42.24,29.96,6.53,6.11,7.49,7.75,5.80,5.00,5.00
World Economic Outlook,Annual percent change,W926PCPI%,UKRAINE,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4.20,91.17,1209.96,4734.91,891.19,376.35,80.23,15.89,10.58,27.93,9.43
World Economic Outlook,Annual percent change,W466PCPI%,UAE,Inflation,21.98,21.98,21.98,21.98,21.98,21.98,21.98,21.98,13.02,10.98,10.01,8.00,7.04,1.30,2.48,3.50,5.48,5.50,4.99,3.33,0.64,5.46,6.86,5.00,3.93,4.40,3.60,4.40,3.08,n.a.,n.a.
World Economic Outlook,Annual percent change,W112PCPI%,UNITED KINGDOM,Inflation,6.35,9.45,7.08,9.19,15.95,24.30,16.71,15.83,8.64,12.61,16.85,12.19,8.51,5.20,4.45,5.16,3.63,4.07,4.59,5.86,8.14,6.76,4.70,2.99,2.38,2.83,2.95,2.75,2.66,2.68,2.41
World Economic Outlook,Annual percent change,W111PCPI%,USA,Inflation,5.88,4.23,3.27,6.26,11.01,9.14,5.77,6.47,7.63,11.25,13.50,10.38,4.03,5.27,4.37,3.53,1.94,3.67,4.07,4.80,5.42,4.22,3.04,2.96,2.61,2.81,2.92,2.34,1.56,2.08,2.43
World Economic Outlook,Annual percent change,W298PCPI%,URUGUAY,Inflation,16.96,23.95,76.49,96.98,77.21,84.85,53.48,61.10,47.26,66.85,63.48,34.05,18.99,49.20,55.31,72.22,76.38,63.57,62.19,80.45,112.53,101.80,68.46,54.23,44.74,42.25,28.34,19.80,10.85,7.00,4.00
World Economic Outlook,Annual percent change,W927PCPI%,UZBEKISTAN,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4.00,109.70,626.90,534.17,1568.34,304.60,53.96,70.86,28.98,28.51,15.56
World Economic Outlook,Annual percent change,W846PCPI%,VANUATU,Inflation,5.65,4.47,6.02,12.96,17.11,6.96,0.29,4.73,6.69,3.39,9.89,22.00,9.02,3.46,6.83,2.04,4.80,14.72,8.36,7.53,4.98,6.50,4.10,3.60,2.30,2.20,0.90,2.80,5.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W299PCPI%,VENEZUELA,Inflation,2.49,3.22,2.83,4.13,8.27,10.28,7.59,7.78,7.02,12.47,21.36,16.24,9.61,6.24,12.25,11.34,11.61,28.18,29.41,84.46,40.66,34.21,31.42,38.12,60.82,59.92,99.88,50.04,35.78,26.11,21.83
World Economic Outlook,Annual percent change,W582PCPI%,VIETNAM,Inflation,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.07,4.04,25.16,69.60,95.40,49.49,64.90,91.60,487.20,316.71,394.00,35.00,67.00,84.36,37.82,8.32,9.45,16.96,5.80,3.20,7.70,8.00,6.00
World Economic Outlook,Annual percent change,W474PCPI%,YEMEN,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,33.46,44.91,50.60,62.33,71.75,62.51,27.30,6.30,9.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W188PCPI%,YUGOSLAVIA,Inflation,9.53,15.70,15.93,19.48,21.98,23.49,11.15,14.66,14.09,20.68,30.88,39.83,31.51,40.23,54.71,72.27,89.77,120.80,194.09,1239.87,583.05,117.40,6146.61,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
World Economic Outlook,Annual percent change,W754PCPI%,ZAMBIA,Inflation,2.60,6.04,5.06,6.46,8.10,10.13,18.80,19.78,16.37,9.66,11.73,14.00,12.49,19.69,20.02,37.43,54.80,47.03,54.04,128.29,109.56,97.70,165.72,183.26,54.61,34.91,43.09,24.41,24.46,n.a.,n.a.
World Economic Outlook,Annual percent change,W698PCPI%,ZIMBABWE,Inflation,2.09,3.02,2.85,3.11,6.60,10.01,11.04,10.26,8.23,12.55,7.24,13.24,10.39,23.24,20.29,8.33,14.47,12.48,7.40,12.85,17.37,23.30,42.09,27.63,22.27,22.57,21.43,19.00,31.50,n.a.,n.a.
