Database,Units,Series_Code,Country,Descriptor,1970A1,1971A1,1972A1,1973A1,1974A1,1975A1,1976A1,1977A1,1978A1,1979A1,1980A1,1981A1,1982A1,1983A1,1984A1,1985A1,1986A1,1987A1,1988A1,1989A1,1990A1,1991A1,1992A1,1993A1,1994A1,1995A1,1996A1,1997A1,1998A1,1999A1,2000A1
World Economic Outlook,Annual percent change,W643PCPI%,ERITREA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4.57,11.62,10.70,9.33,1.34,8.28,n.a.,n.a.
World Economic Outlook,Annual percent change,W939PCPI%,ESTONIA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,17.20,210.60,1069.02,89.00,47.70,28.87,23.10,11.20,8.20,3.70,3.20
World Economic Outlook,Annual percent change,W644PCPI%,ETHIOPIA,Inflation,10.12,0.54,-6.08,8.91,8.59,6.74,28.77,16.87,18.78,13.18,12.44,1.94,7.77,3.57,-0.33,18.40,5.55,-9.15,2.21,9.63,5.21,20.87,21.02,9.99,1.17,13.35,0.92,-6.42,2.47,n.a.,n.a.
World Economic Outlook,Annual percent change,W819PCPI%,FIJI,Inflation,4.24,6.47,9.11,11.22,14.52,13.08,11.40,7.53,6.01,7.24,14.46,11.20,7.01,6.81,5.27,4.41,1.79,5.70,11.90,5.70,11.90,6.10,8.20,6.50,4.90,5.20,0.62,0.00,2.17,n.a.,n.a.
World Economic Outlook,Annual percent change,W172PCPI%,FINLAND,Inflation,2.73,6.48,7.11,10.99,16.67,17.81,14.34,12.69,7.80,7.47,11.60,12.00,9.30,8.40,7.00,5.82,2.90,4.08,5.14,6.57,6.08,4.16,2.87,2.20,1.08,1.00,0.60,1.20,1.50,1.50,2.00
World Economic Outlook,Annual percent change,W132PCPI%,FRANCE,Inflation,5.93,5.50,6.16,7.32,13.73,11.78,9.62,9.37,9.06,10.76,13.06,13.33,11.98,9.46,7.67,5.83,2.54,3.29,2.70,3.50,3.38,3.22,2.37,2.11,1.66,1.78,2.01,1.20,0.70,0.52,1.11
World Economic Outlook,Annual percent change,W646PCPI%,GABON,Inflation,3.80,3.89,3.45,6.24,12.01,28.35,20.17,13.85,10.74,8.11,12.32,8.60,16.70,10.40,5.90,7.30,6.40,-1.00,-9.80,6.90,5.70,3.30,-10.80,0.56,36.13,10.00,4.50,2.50,2.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W648PCPI%,"GAMBIA, THE",Inflation,-1.98,3.07,8.68,6.89,9.23,25.90,17.08,12.42,10.19,7.54,5.02,7.92,8.23,9.31,15.60,21.76,35.01,46.22,12.37,10.81,10.20,9.09,12.02,5.94,3.96,4.03,4.75,2.11,3.77,n.a.,n.a.
World Economic Outlook,Annual percent change,W915PCPI%,GEORGIA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3.30,78.50,887.40,3125.40,15606.50,162.70,39.40,7.10,3.60,19.50,5.00
World Economic Outlook,Annual percent change,W134PCPI%,GERMANY,Inflation,3.44,5.24,5.50,7.02,6.95,5.94,4.28,3.68,2.71,4.08,5.45,6.32,5.26,3.28,2.40,2.08,-0.13,0.24,1.27,2.78,2.69,3.47,5.06,4.45,2.75,1.84,1.48,1.76,0.90,0.57,1.05
